Username,Accuracy,Base_payout
taggingAwign318,86.21%,₹0.75
taggingAwign18,88.71%,₹0.75
taggingAwign740,91.80%,₹1.00
taggingAwign118,80.56%,₹0.55
taggingAwign80,91.23%,₹1.00
taggingAwign378,89.66%,₹0.75
taggingAwign317,86.11%,₹0.75
taggingAwign373,77.78%,₹0.40
taggingAwign50,79.76%,₹0.40
taggingAwign292,82.35%,₹0.55
taggingAwign728,83.33%,₹0.55
taggingAwign487,86.30%,₹0.75
taggingAwign10,85.00%,₹0.75
taggingAwign340,92.86%,₹1.00
taggingAwign148,76.67%,₹0.40
taggingAwign712,82.61%,₹0.55
taggingAwign428,86.05%,₹0.75
taggingAwign41,80.36%,₹0.55
taggingAwign168,93.42%,₹1.00
taggingAwign341,87.50%,₹0.75
taggingAwign197,84.38%,₹0.55
taggingAwign359,69.57%,₹0.40
taggingAwign105,89.91%,₹0.75
taggingAwign270,84.13%,₹0.55
taggingAwign352,64.29%,₹0.40
taggingAwign371,79.31%,₹0.40
taggingAwign495,83.87%,₹0.55
taggingAwign422,82.61%,₹0.55
taggingAwign413,79.49%,₹0.40
taggingAwign23,77.78%,₹0.40
taggingAwign348,88.24%,₹0.75
taggingAwign400,84.21%,₹0.55
taggingAwign47,94.12%,₹1.00
taggingAwign332,81.82%,₹0.55
taggingAwign381,61.90%,₹0.40
taggingAwign19,74.68%,₹0.40
taggingAwign488,75.61%,₹0.40
taggingAwign439,88.52%,₹0.75
taggingAwign350,78.13%,₹0.40
taggingAwign530,88.89%,₹0.75
taggingAwign117,81.82%,₹0.55
taggingAwign25,93.59%,₹1.00
taggingAwign78,88.89%,₹0.75
taggingAwign52,88.00%,₹0.75
taggingAwign454,96.00%,₹1.50
taggingAwign84,87.06%,₹0.75
taggingAwign523,88.46%,₹0.75
taggingAwign395,83.64%,₹0.55
taggingAwign368,75.51%,₹0.40
taggingAwign459,81.58%,₹0.55
taggingAwign204,90.38%,₹1.00
taggingAwign181,82.61%,₹0.55
taggingAwign01,87.50%,₹0.75
taggingAwign517,89.87%,₹0.75
taggingAwign48,84.62%,₹0.55
taggingAwign131,85.48%,₹0.75
taggingAwign279,88.64%,₹0.75
taggingAwign192,90.32%,₹1.00
taggingAwign141,90.48%,₹1.00
taggingAwign132,92.00%,₹1.00
taggingAwign231,92.86%,₹1.00
taggingAwign238,79.31%,₹0.40
taggingAwign261,90.32%,₹1.00
taggingAwign24,71.70%,₹0.40
taggingAwign139,91.30%,₹1.00
taggingAwign229,83.78%,₹0.55
taggingAwign102,80.77%,₹0.55
taggingAwign402,100.00%,₹1.50
taggingAwign375,84.62%,₹0.55
taggingAwign56,94.00%,₹1.00
taggingAwign325,90.28%,₹1.00
taggingAwign233,90.28%,₹1.00
